2018-05-05 10:34:08.979 JST [42739] LOG:  received fast shutdown request
2018-05-05 10:34:08.981 JST [42739] LOG:  aborting any active transactions
2018-05-05 10:34:08.982 JST [42739] LOG:  background worker "logical replication launcher" (PID 42748) exited with exit code 1
2018-05-05 10:34:08.982 JST [42743] LOG:  shutting down
2018-05-05 10:34:09.074 JST [42743] LOG:  checkpoint starting: shutdown immediate
2018-05-05 10:34:09.370 JST [42743] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.000 s, total=0.387 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-05 10:34:09.643 JST [42739] LOG:  database system is shut down
2018-05-05 10:34:10.556 JST [42799] LOG:  database system was shut down at 2018-05-05 10:34:09 JST
2018-05-05 10:34:10.559 JST [42795] LOG:  database system is ready to accept connections
2018-05-05 10:34:20.621 JST [42886] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:34:20.704 JST [42886] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.01 s, elapsed: 0.07 s
2018-05-05 10:34:25.664 JST [42907] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 10:34:45.639 JST [42999] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:34:50.645 JST [43020] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:34:50.753 JST [43020] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.09 s
2018-05-05 10:34:50.807 JST [43020] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 10:34:55.650 JST [43041] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:00.666 JST [43059] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:00.791 JST [43059] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.11 s
2018-05-05 10:35:00.847 JST [43059] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 10:35:05.673 JST [43080] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:10.676 JST [43102] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:10.818 JST [43102] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.11 s, system: 0.02 s, elapsed: 0.13 s
2018-05-05 10:35:10.876 JST [43102] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 10:35:15.677 JST [43123] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:20.680 JST [43144] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:20.851 JST [43144] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.03 s, elapsed: 0.16 s
2018-05-05 10:35:20.913 JST [43144] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 10:35:25.672 JST [43165] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 10:35:30.674 JST [43194] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
