2018-05-04 01:47:18.326 JST [56930] LOG:  received fast shutdown request
2018-05-04 01:47:18.327 JST [56930] LOG:  aborting any active transactions
2018-05-04 01:47:18.328 JST [56930] LOG:  background worker "logical replication launcher" (PID 56939) exited with exit code 1
2018-05-04 01:47:18.328 JST [56934] LOG:  shutting down
2018-05-04 01:47:18.328 JST [56934] LOG:  checkpoint starting: shutdown immediate
2018-05-04 01:47:18.435 JST [56934] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.105 s, sync=0.000 s, total=0.106 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-04 01:47:18.729 JST [56930] LOG:  database system is shut down
2018-05-04 01:47:19.742 JST [56984] LOG:  database system was shut down at 2018-05-04 01:47:18 JST
2018-05-04 01:47:19.744 JST [56982] LOG:  database system is ready to accept connections
2018-05-04 01:47:29.810 JST [57073] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-04 01:47:29.953 JST [57073] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.06 s
2018-05-04 01:47:30.138 JST [57073] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-04 01:47:39.804 JST [57117] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-04 01:47:44.900 JST [57138] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.00 s, elapsed: 0.09 s
2018-05-04 01:47:44.953 JST [57138] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
