2018-05-03 13:17:57.821 JST [140390] LOG:  received fast shutdown request
2018-05-03 13:17:57.920 JST [140390] LOG:  aborting any active transactions
2018-05-03 13:17:57.920 JST [140456] FATAL:  terminating connection due to administrator command
2018-05-03 13:17:57.920 JST [140390] LOG:  background worker "logical replication launcher" (PID 140457) exited with exit code 1
2018-05-03 13:17:57.930 JST [140390] LOG:  background worker "walker" (PID 140456) exited with exit code 1
2018-05-03 13:17:57.930 JST [140451] LOG:  shutting down
2018-05-03 13:17:57.961 JST [140451] LOG:  checkpoint starting: shutdown immediate
2018-05-03 13:17:58.146 JST [140451] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.108 s, sync=0.000 s, total=0.215 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-03 13:17:58.429 JST [140390] LOG:  database system is shut down
2018-05-03 13:17:59.562 JST [140504] LOG:  database system was shut down at 2018-05-03 13:17:58 JST
2018-05-03 13:17:59.595 JST [140501] LOG:  database system is ready to accept connections
2018-05-03 13:17:59.610 JST [140510] LOG:  restored 25079 13285 1663
2018-05-03 13:17:59.614 JST [140510] LOG:  restored 25080 13285 1663
2018-05-03 13:17:59.617 JST [140510] LOG:  restored 25082 13285 1663
2018-05-03 13:18:00.333 JST [140510] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-03 13:24:00.384 JST [142017] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.05 s, system: 0.00 s, elapsed: 0.15 s
2018-05-03 13:24:05.243 JST [142037] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:24:10.281 JST [142057] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-03 13:26:00.330 JST [142550] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:26:05.412 JST [142567] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.07 s
2018-05-03 13:26:10.386 JST [142587] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:28:00.436 JST [143037] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:28:20.499 JST [143154] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:28:30.691 JST [143194] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.08 s
2018-05-03 13:30:05.638 JST [143591] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:30:35.701 JST [143708] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:31:20.792 JST [143893] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.09 s
2018-05-03 13:32:15.749 JST [144119] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:32:55.914 JST [144284] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:34:31.050 JST [144667] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:34:36.163 JST [144684] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.10 s
2018-05-03 13:35:21.132 JST [144872] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:36:51.178 JST [145242] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:37:51.278 JST [145484] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:38:21.363 JST [145605] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.11 s
2018-05-03 13:39:11.302 JST [145810] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:40:26.412 JST [146118] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:41:36.444 JST [146400] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:42:41.601 JST [146673] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.02 s, elapsed: 0.12 s
2018-05-03 13:43:06.551 JST [146772] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:44:11.564 JST [147040] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:45:51.689 JST [147454] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 13:46:46.703 JST [147680] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 13:47:46.892 JST [147922] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.11 s, system: 0.02 s, elapsed: 0.13 s
2018-05-03 13:47:59.699 JST [140505] LOG:  checkpoint starting: time
2018-05-03 14:15:38.067 JST [140505] LOG:  checkpoint complete: wrote 2029076 buffers (31.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1657.158 s, sync=0.148 s, total=1658.367 s; sync files=136, longest=0.089 s, average=0.001 s; distance=15940964 kB, estimate=15940964 kB
2018-05-03 14:15:54.755 JST [154920] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 14:16:44.783 JST [155126] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 14:17:59.082 JST [140505] LOG:  checkpoint starting: time
