2018-05-05 13:40:13.553 JST [71218] LOG:  received fast shutdown request
2018-05-05 13:40:13.600 JST [71218] LOG:  aborting any active transactions
2018-05-05 13:40:13.601 JST [71218] LOG:  background worker "logical replication launcher" (PID 71227) exited with exit code 1
2018-05-05 13:40:13.601 JST [71222] LOG:  shutting down
2018-05-05 13:40:13.651 JST [71222] LOG:  checkpoint starting: shutdown immediate
2018-05-05 13:40:13.811 JST [71222] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.109 s, sync=0.000 s, total=0.210 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-05 13:40:14.095 JST [71218] LOG:  database system is shut down
2018-05-05 13:40:15.728 JST [71274] LOG:  database system was shut down at 2018-05-05 13:40:13 JST
2018-05-05 13:40:15.834 JST [71271] LOG:  database system is ready to accept connections
2018-05-05 13:40:25.896 JST [71360] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 13:40:25.992 JST [71360] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.08 s
2018-05-05 13:40:26.044 JST [71360] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 13:40:35.890 JST [71402] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 13:40:35.991 JST [71402] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.09 s
2018-05-05 13:40:36.118 JST [71402] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 13:40:45.895 JST [71454] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 13:40:50.897 JST [71475] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 13:40:51.017 JST [71475] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.10 s
2018-05-05 13:40:51.071 JST [71475] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 13:40:55.902 JST [71496] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 13:41:00.915 JST [71514] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
