2018-05-09 18:40:42.195 JST [95317] LOG:  received fast shutdown request
2018-05-09 18:40:42.196 JST [95317] LOG:  aborting any active transactions
2018-05-09 18:40:42.196 JST [95317] LOG:  background worker "logical replication launcher" (PID 95326) exited with exit code 1
2018-05-09 18:40:42.196 JST [95321] LOG:  shutting down
2018-05-09 18:40:42.197 JST [95321] LOG:  checkpoint starting: shutdown immediate
2018-05-09 18:40:42.309 JST [95321] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.110 s, sync=0.000 s, total=0.112 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-09 18:40:42.452 JST [95317] LOG:  database system is shut down
2018-05-09 18:40:43.194 JST [95371] LOG:  database system was shut down at 2018-05-09 18:40:42 JST
2018-05-09 18:40:43.197 JST [95369] LOG:  database system is ready to accept connections
2018-05-09 18:41:48.585 JST [95856] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:41:48.979 JST [95856] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.21 s, system: 0.02 s, elapsed: 0.38 s
2018-05-09 18:41:49.034 JST [95856] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-09 18:42:44.291 JST [96190] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:42:44.352 JST [96190] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-09 18:43:00.148 JST [96288] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.31 s, system: 0.05 s, elapsed: 0.67 s
2018-05-09 18:43:39.802 JST [96523] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:43:44.847 JST [96553] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-09 18:44:45.514 JST [96919] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:44:46.618 JST [96919] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.48 s, system: 0.08 s, elapsed: 1.09 s
2018-05-09 18:44:50.680 JST [96949] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.01 s, elapsed: 0.07 s
2018-05-09 18:45:45.726 JST [97283] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:45:55.804 JST [97339] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.07 s
2018-05-09 18:46:46.063 JST [97642] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:46:56.231 JST [97703] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.01 s, elapsed: 0.07 s
2018-05-09 18:47:02.324 JST [97741] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.45 s, system: 0.09 s, elapsed: 1.16 s
2018-05-09 18:47:46.186 JST [98006] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:47:56.187 JST [98066] LOG:  starting vacuum on "pgbench_accounts"
2018-05-09 18:48:01.297 JST [98099] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.09 s
2018-05-09 18:48:46.261 JST [98364] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:49:01.355 JST [98462] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.01 s, elapsed: 0.09 s
2018-05-09 18:49:46.298 JST [98727] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-09 18:49:53.146 JST [98757] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.49 s, system: 0.13 s, elapsed: 1.85 s
2018-05-09 18:50:01.407 JST [98820] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.09 s
2018-05-09 18:50:46.361 JST [99092] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.01 s
2018-05-09 18:51:01.450 JST [99191] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.01 s, elapsed: 0.09 s
